green_initiative,employees,man_exp,foreign,fin_obst,,green_strategy,energy_tax,sector
Green,9,10,Domestic,Severe obstcale,,No,No,Retail
Green,124,40,Domestic,Severe obstcale,,No,No,Retail
Green,100,40,Domestic,No obstcale,,No,No,Hotel and restaurants
Green,9,11,Domestic,Moderate obstcale,,No,No,Hotel and restaurants
Green,30,23,Domestic,No obstcale,,No,No,Services
Green,19,20,Domestic,Minor obstcale,,No,No,Services
Green,28,30,Domestic,Major obstcale,,No,No,Manufacturing
Green,11,27,Domestic,Severe obstcale,,No,No,Services
Green,12,19,Domestic,Minor obstcale,,No,No,Services
Green,45,20,Domestic,No obstcale,,No,No,Construction
Green,5,45,Domestic,No obstcale,,No,No,Services
Green,8,23,Domestic,No obstcale,,No,No,Services
Green,19,43,Foreign,No obstcale,,No,No,Manufacturing
Green,14,16,Foreign,No obstcale,,No,No,Manufacturing
Green,5,45,Domestic,No obstcale,,No,No,Manufacturing
Green,14,15,Domestic,Moderate obstcale,,Yes,No,Manufacturing
Green,3,14,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,3,25,Domestic,Severe obstcale,,No,No,Manufacturing
Green,15,24,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,35,15,Domestic,Moderate obstcale,,No,No,Food
Green,80,19,Domestic,Major obstcale,,No,No,Manufacturing
Green,12,20,Domestic,Severe obstcale,,No,No,Retail
Green,6,20,Domestic,Severe obstcale,,No,No,Manufacturing
Green,5,22,Domestic,No obstcale,,No,No,Retail
Green,2,13,Domestic,No obstcale,,No,No,Services
Green,14,34,Domestic,Severe obstcale,,No,No,Retail
Green,14,15,Domestic,Moderate obstcale,,No,No,Retail
Green,36,20,Domestic,Moderate obstcale,,No,No,Retail
Green,70,42,Domestic,Moderate obstcale,,No,No,Retail
Green,89,19,Domestic,No obstcale,,No,No,Wholesale
Green,14,15,Domestic,No obstcale,,Yes,No,Retail
Green,5,50,Domestic,Moderate obstcale,,No,No,Construction
Green,3,40,Domestic,Major obstcale,,No,No,Construction
Green,5,20,Domestic,No obstcale,,Yes,No,Hotel and restaurants
Green,10,4,Foreign,Major obstcale,,Yes,No,Wholesale
Green,11,13,Domestic,Severe obstcale,,No,No,Manufacturing
Green,6,50,Domestic,Moderate obstcale,,No,No,Services
Green,4,20,Domestic,No obstcale,,No,No,Retail
Green,9,20,Domestic,Moderate obstcale,,No,No,Wholesale
Green,6,25,Domestic,No obstcale,,No,No,Retail
Green,20,34,Domestic,Minor obstcale,,No,No,Construction
Green,60,3,Domestic,Severe obstcale,,No,No,Wholesale
Green,25,18,Domestic,Minor obstcale,,Yes,Yes,Manufacturing
Green,140,28,Domestic,No obstcale,,No,No,Construction
Green,35,23,Domestic,Major obstcale,,No,No,Food
Green,35,40,Domestic,Major obstcale,,No,No,Construction
Green,200,40,Domestic,No obstcale,,No,No,Construction
Green,100,30,Domestic,Minor obstcale,,No,No,Construction
Green,180,15,Domestic,Moderate obstcale,,No,No,Services
Green,36,20,Domestic,No obstcale,,No,No,Food
Green,6,51,Domestic,Severe obstcale,,Yes,No,Manufacturing
Green,21,1,Foreign,No obstcale,,No,No,Food
Green,110,43,Domestic,No obstcale,,No,Yes,Manufacturing
Green,12,22,Domestic,Moderate obstcale,,No,No,Hotel and restaurants
Green,45,20,Domestic,Moderate obstcale,,Yes,Yes,Manufacturing
Green,50,25,Domestic,Minor obstcale,,No,No,Services
Green,5,30,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,3,20,Foreign,Severe obstcale,,No,No,Retail
Green,50,20,Domestic,Moderate obstcale,,No,No,Retail
Green,23,15,Domestic,Minor obstcale,,No,No,Food
Green,90,30,Domestic,No obstcale,,No,Yes,Services
Green,8,21,Domestic,No obstcale,,No,No,Retail
Green,13,16,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,24,20,Domestic,Minor obstcale,,No,No,Manufacturing
Green,32,14,Domestic,No obstcale,,No,No,Food
Green,30,20,Domestic,Moderate obstcale,,Yes,No,Retail
Green,30,35,Foreign,Moderate obstcale,,No,No,Food
Green,90,13,Foreign,No obstcale,,No,No,Food
Green,5,26,Domestic,No obstcale,,No,No,Retail
Green,3,20,Domestic,No obstcale,,No,No,Retail
Green,6,15,Domestic,Moderate obstcale,,No,No,Retail
Green,8,25,Domestic,Severe obstcale,,No,No,Retail
Green,4,29,Domestic,Severe obstcale,,No,No,Services
Green,4,20,Domestic,No obstcale,,No,Yes,Hotel and restaurants
Green,7,29,Domestic,No obstcale,,No,No,Retail
Green,58,24,Domestic,No obstcale,,No,No,Services
Green,36,10,Domestic,Moderate obstcale,,No,No,Services
Green,20,25,Domestic,Moderate obstcale,,No,No,Food
Green,250,30,Foreign,No obstcale,,Yes,Yes,Food
Green,3,40,Domestic,Major obstcale,,No,No,Retail
Green,13,24,Domestic,Minor obstcale,,No,No,Retail
Green,6,20,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,32,25,Domestic,No obstcale,,Yes,Yes,Retail
Green,160,40,Domestic,No obstcale,,No,Yes,Food
Green,126,9,Domestic,No obstcale,,No,Yes,Construction
Green,55,22,Domestic,No obstcale,,No,No,Retail
Green,38,20,Domestic,No obstcale,,No,No,Retail
Green,47,19,Domestic,No obstcale,,No,No,Food
Green,150,24,Domestic,Severe obstcale,,No,No,Food
Green,25,25,Domestic,Major obstcale,,No,No,Manufacturing
Green,19,23,Domestic,Moderate obstcale,,No,No,Retail
Green,28,14,Domestic,No obstcale,,No,Yes,Food
Green,68,15,Domestic,No obstcale,,Yes,No,Food
Green,120,30,Domestic,Major obstcale,,No,No,Food
Green,20,24,Domestic,Major obstcale,,Yes,Yes,Retail
Green,24,36,Domestic,Major obstcale,,No,Yes,Food
Green,6,30,Domestic,Major obstcale,,No,No,Retail
Green,12,16,Domestic,Minor obstcale,,No,No,Retail
Green,10,25,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,15,10,Foreign,Severe obstcale,,No,No,Wholesale
Green,18,16,Domestic,Severe obstcale,,No,No,Manufacturing
Green,50,20,Domestic,No obstcale,,No,No,Manufacturing
Green,26,4,Domestic,No obstcale,,No,No,Manufacturing
Green,25,28,Domestic,Minor obstcale,,No,No,Retail
Green,67,18,Domestic,No obstcale,,Yes,No,Manufacturing
Green,150,18,Domestic,Severe obstcale,,Yes,No,Manufacturing
Green,50,20,Domestic,No obstcale,,Yes,No,Services
Green,62,2,Domestic,Major obstcale,,No,No,Retail
Green,20,10,Domestic,No obstcale,,No,Yes,Construction
Green,17,22,Domestic,Moderate obstcale,,No,No,Wholesale
Green,250,30,Foreign,Minor obstcale,,No,No,Manufacturing
Green,182,46,Domestic,No obstcale,,Yes,No,Manufacturing
Green,50,36,Domestic,No obstcale,,No,No,Wholesale
Green,156,43,Foreign,No obstcale,,No,Yes,Manufacturing
Green,117,35,Foreign,No obstcale,,Yes,No,Manufacturing
Green,45,27,Domestic,Minor obstcale,,No,Yes,Retail
Green,25,45,Domestic,Major obstcale,,No,Yes,Food
Green,200,42,Domestic,Moderate obstcale,,No,No,Food
Green,172,10,Domestic,Moderate obstcale,,No,Yes,Services
Green,100,25,Domestic,Major obstcale,,No,Yes,Hotel and restaurants
Green,85,30,Domestic,Moderate obstcale,,Yes,Yes,Food
Green,121,4,Foreign,No obstcale,,No,No,Manufacturing
Green,30,25,Domestic,Minor obstcale,,No,No,Food
Green,28,20,Domestic,No obstcale,,No,No,Retail
Green,211,25,Domestic,Moderate obstcale,,Yes,No,Food
Green,22,25,Domestic,Major obstcale,,No,No,Food
Green,215,6,Domestic,No obstcale,,No,No,Construction
Green,47,7,Domestic,No obstcale,,No,No,Wholesale
Green,75,30,Domestic,No obstcale,,No,No,Services
Green,29,8,Domestic,Major obstcale,,No,No,Retail
Green,160,8,Domestic,Minor obstcale,,No,No,Construction
Green,158,40,Domestic,No obstcale,,No,No,Food
Green,55,16,Domestic,No obstcale,,No,No,Wholesale
Green,98,32,Domestic,Major obstcale,,No,No,Manufacturing
Green,160,33,Domestic,No obstcale,,No,Yes,Construction
Green,203,37,Domestic,No obstcale,,No,Yes,Food
Green,26,30,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,150,12,Domestic,No obstcale,,Yes,Yes,Food
Green,128,30,Domestic,No obstcale,,No,Yes,Construction
Green,24,32,Domestic,No obstcale,,No,Yes,Manufacturing
Green,23,35,Domestic,Minor obstcale,,No,No,Retail
Green,95,25,Domestic,No obstcale,,No,No,Wholesale
Green,37,22,Domestic,No obstcale,,No,No,Food
Green,7,25,Domestic,Minor obstcale,,No,No,Retail
Green,30,15,Domestic,No obstcale,,No,Yes,Retail
Green,150,30,Domestic,No obstcale,,No,No,Manufacturing
Green,70,15,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,131,22,Domestic,Severe obstcale,,Yes,No,Food
Green,38,26,Domestic,No obstcale,,No,No,Hotel and restaurants
Green,157,27,Domestic,No obstcale,,No,No,Manufacturing
Green,36,19,Domestic,No obstcale,,No,Yes,Manufacturing
Green,130,25,Domestic,Minor obstcale,,No,No,Food
Green,86,10,Domestic,Major obstcale,,No,No,Food
Green,95,12,Domestic,No obstcale,,No,No,Food
Green,8,25,Domestic,Severe obstcale,,No,Yes,Wholesale
Green,149,15,Foreign,Major obstcale,,No,No,Food
Green,7,25,Domestic,Minor obstcale,,No,No,Wholesale
Green,250,30,Domestic,No obstcale,,No,No,Wholesale
Green,15,23,Domestic,Moderate obstcale,,No,No,Retail
Green,18,40,Domestic,Major obstcale,,Yes,Yes,Manufacturing
Green,5,13,Domestic,No obstcale,,No,No,Manufacturing
Green,79,12,Foreign,Minor obstcale,,Yes,No,Retail
Green,9,18,Domestic,No obstcale,,No,No,Retail
Green,78,53,Foreign,No obstcale,,No,No,Manufacturing
Green,39,32,Domestic,No obstcale,,No,Yes,Manufacturing
Green,8,10,Domestic,No obstcale,,No,No,Manufacturing
Green,62,13,Domestic,Moderate obstcale,,No,Yes,Food
Green,6,13,Domestic,Moderate obstcale,,No,No,Services
Green,7,11,Domestic,No obstcale,,Yes,No,Manufacturing
Green,16,25,Domestic,No obstcale,,No,No,Wholesale
Green,5,20,Domestic,Moderate obstcale,,No,No,Retail
Green,35,50,Domestic,No obstcale,,No,Yes,Manufacturing
Green,11,7,Domestic,Severe obstcale,,No,No,Retail
Green,21,36,Domestic,Minor obstcale,,No,No,Retail
Green,9,19,Domestic,No obstcale,,No,No,Wholesale
Green,17,9,Domestic,Major obstcale,,No,Yes,Retail
Green,8,19,Domestic,No obstcale,,No,No,Services
Green,138,8,Domestic,Major obstcale,,No,Yes,Manufacturing
Green,202,7,Foreign,Severe obstcale,,No,No,Manufacturing
Green,60,10,Foreign,No obstcale,,Yes,Yes,Manufacturing
Green,20,23,Domestic,Major obstcale,,No,No,Wholesale
Green,39,19,Domestic,Major obstcale,,No,No,Construction
Green,5,4,Domestic,Moderate obstcale,,No,No,Retail
Green,15,35,Domestic,No obstcale,,No,Yes,Construction
Green,32,8,Domestic,Severe obstcale,,No,No,Retail
Green,20,4,Domestic,No obstcale,,No,No,Retail
Green,250,6,Domestic,No obstcale,,No,Yes,Manufacturing
Green,45,10,Domestic,No obstcale,,No,Yes,Food
Green,183,35,Domestic,Minor obstcale,,No,Yes,Construction
Green,5,20,Domestic,Major obstcale,,No,No,Retail
Green,220,1,Foreign,No obstcale,,No,No,Retail
Green,5,15,Domestic,Minor obstcale,,No,No,Services
Green,6,10,Domestic,Moderate obstcale,,No,No,Services
Green,5,11,Domestic,Severe obstcale,,Yes,No,Food
Green,15,30,Domestic,Moderate obstcale,,No,No,Services
Green,7,7,Domestic,Major obstcale,,No,Yes,Retail
Green,91,1,Foreign,Moderate obstcale,,No,No,Food
Green,180,10,Domestic,Major obstcale,,Yes,No,Retail
Green,23,4,Domestic,Major obstcale,,No,No,Food
Green,35,20,Domestic,No obstcale,,No,No,Retail
Green,40,10,Domestic,No obstcale,,No,No,Manufacturing
Green,20,40,Foreign,No obstcale,,No,No,Manufacturing
Green,24,15,Domestic,No obstcale,,Yes,Yes,Food
Green,7,19,Domestic,Major obstcale,,No,No,Retail
Green,6,5,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,25,20,Domestic,No obstcale,,No,No,Construction
Green,7,19,Domestic,Major obstcale,,No,No,Services
Green,10,12,Domestic,Moderate obstcale,,No,No,Retail
Green,14,30,Domestic,Major obstcale,,No,No,Manufacturing
Green,8,30,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,8,20,Domestic,Minor obstcale,,No,No,Manufacturing
Green,8,10,Domestic,Minor obstcale,,No,No,Manufacturing
Green,6,45,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,9,40,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,7,15,Domestic,Major obstcale,,No,No,Manufacturing
Green,6,25,Domestic,Major obstcale,,No,No,Manufacturing
Green,12,70,Domestic,Moderate obstcale,,Yes,Yes,Manufacturing
Green,6,35,Domestic,No obstcale,,No,No,Manufacturing
Green,12,39,Domestic,No obstcale,,No,No,Manufacturing
Green,8,50,Domestic,Minor obstcale,,No,No,Manufacturing
Green,8,20,Domestic,No obstcale,,No,No,Manufacturing
Green,12,40,Domestic,Major obstcale,,No,Yes,Manufacturing
Green,5,20,Domestic,Moderate obstcale,,No,Yes,Food
Green,12,40,Domestic,Major obstcale,,Yes,Yes,Food
Green,10,28,Domestic,Minor obstcale,,No,No,Food
Green,5,20,Domestic,Major obstcale,,No,No,Food
Green,11,40,Domestic,Moderate obstcale,,Yes,No,Food
Green,12,14,Domestic,Minor obstcale,,No,No,Food
Green,5,14,Domestic,No obstcale,,No,Yes,Retail
Green,6,10,Domestic,No obstcale,,No,No,Food
Green,6,45,Domestic,No obstcale,,No,No,Food
Green,13,7,Domestic,Moderate obstcale,,No,No,Food
Green,5,43,Domestic,No obstcale,,No,No,Food
Green,8,30,Domestic,No obstcale,,No,No,Retail
Green,7,40,Domestic,No obstcale,,No,No,Retail
Green,7,15,Domestic,Minor obstcale,,No,No,Manufacturing
Green,12,35,Domestic,Minor obstcale,,No,No,Manufacturing
Green,7,8,Domestic,Minor obstcale,,No,Yes,Manufacturing
Green,8,10,Domestic,Minor obstcale,,No,No,Manufacturing
Green,8,30,Domestic,Moderate obstcale,,No,Yes,Manufacturing
Green,10,39,Domestic,Major obstcale,,No,Yes,Manufacturing
Green,10,10,Domestic,Minor obstcale,,No,No,Manufacturing
Green,12,30,Domestic,Minor obstcale,,No,No,Garments
Green,6,15,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,15,25,Domestic,No obstcale,,Yes,No,Manufacturing
Green,9,40,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,12,70,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,7,20,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,14,18,Domestic,No obstcale,,No,No,Manufacturing
Green,5,12,Domestic,Major obstcale,,No,No,Garments
Green,7,12,Domestic,Major obstcale,,No,Yes,Manufacturing
Green,9,13,Domestic,No obstcale,,No,No,Manufacturing
Green,12,65,Domestic,Severe obstcale,,No,Yes,Manufacturing
Green,8,25,Domestic,Moderate obstcale,,No,Yes,Manufacturing
Green,19,20,Domestic,No obstcale,,No,No,Manufacturing
Green,10,10,Domestic,Minor obstcale,,No,No,Manufacturing
Green,7,40,Domestic,Minor obstcale,,No,No,Wholesale
Green,12,10,Domestic,Moderate obstcale,,Yes,No,Garments
Green,10,30,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,10,12,Domestic,Major obstcale,,No,No,Manufacturing
Green,5,39,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,12,32,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,10,30,Domestic,No obstcale,,No,No,Manufacturing
Green,12,40,Domestic,No obstcale,,No,No,Garments
Green,7,50,Domestic,Minor obstcale,,No,No,Manufacturing
Green,18,15,Domestic,No obstcale,,No,No,Garments
Green,15,50,Domestic,No obstcale,,Yes,No,Manufacturing
Green,8,30,Domestic,No obstcale,,No,No,Construction
Green,12,25,Domestic,No obstcale,,Yes,No,Hotel and restaurants
Green,16,20,Domestic,Minor obstcale,,No,No,Construction
Green,10,20,Domestic,No obstcale,,No,No,Hotel and restaurants
Green,15,30,Domestic,Minor obstcale,,No,No,Wholesale
Green,9,30,Domestic,No obstcale,,Yes,No,Services
Green,15,12,Domestic,No obstcale,,Yes,No,Construction
Green,11,20,Domestic,Minor obstcale,,No,No,Hotel and restaurants
Green,15,20,Domestic,Moderate obstcale,,No,No,Hotel and restaurants
Green,16,30,Domestic,No obstcale,,No,No,Wholesale
Green,10,6,Foreign,Severe obstcale,,No,No,Hotel and restaurants
Green,5,20,Domestic,Moderate obstcale,,No,No,Construction
Green,15,35,Domestic,Minor obstcale,,No,No,Construction
Green,9,25,Domestic,No obstcale,,No,No,Wholesale
Green,15,40,Domestic,No obstcale,,No,No,Hotel and restaurants
Green,15,25,Domestic,No obstcale,,Yes,No,Hotel and restaurants
Green,11,20,Domestic,No obstcale,,No,No,Construction
Green,15,3,Domestic,Moderate obstcale,,No,No,Hotel and restaurants
Green,7,12,Domestic,Moderate obstcale,,No,No,Services
Green,7,10,Domestic,No obstcale,,No,No,Retail
Green,8,30,Domestic,Major obstcale,,No,Yes,Services
Green,8,50,Domestic,Moderate obstcale,,No,Yes,Hotel and restaurants
Green,9,20,Domestic,Major obstcale,,Yes,No,Manufacturing
Green,8,10,Domestic,Major obstcale,,No,Yes,Services
Green,9,10,Domestic,Major obstcale,,No,Yes,Wholesale
Green,5,10,Domestic,Minor obstcale,,No,No,Services
Green,6,15,Domestic,Severe obstcale,,No,No,Wholesale
Green,10,12,Domestic,Major obstcale,,No,Yes,Food
Green,8,46,Domestic,No obstcale,,No,No,Wholesale
Green,10,30,Domestic,No obstcale,,No,No,Services
Green,8,20,Domestic,Moderate obstcale,,No,No,Wholesale
Green,17,40,Domestic,No obstcale,,No,Yes,Services
Green,10,20,Domestic,Moderate obstcale,,No,No,Construction
Green,20,25,Domestic,Moderate obstcale,,No,No,Services
Green,6,20,Domestic,Moderate obstcale,,No,No,Construction
Green,9,20,Domestic,Moderate obstcale,,No,No,Construction
Green,10,10,Domestic,Moderate obstcale,,No,No,Hotel and restaurants
Green,9,20,Domestic,Moderate obstcale,,No,No,Hotel and restaurants
Green,8,13,Domestic,Major obstcale,,No,No,Hotel and restaurants
Green,9,30,Domestic,Moderate obstcale,,No,No,Services
Green,8,15,Domestic,Moderate obstcale,,No,No,Services
Green,9,10,Domestic,Moderate obstcale,,No,No,Wholesale
Green,12,40,Domestic,Moderate obstcale,,No,No,Wholesale
Green,7,35,Domestic,Moderate obstcale,,No,No,Hotel and restaurants
Green,8,20,Domestic,Moderate obstcale,,No,No,Services
Green,10,40,Domestic,Minor obstcale,,Yes,No,Hotel and restaurants
Green,10,18,Domestic,No obstcale,,No,No,Services
Green,5,40,Domestic,Moderate obstcale,,No,No,Construction
Green,8,41,Domestic,No obstcale,,No,No,Construction
Green,18,20,Domestic,No obstcale,,No,No,Hotel and restaurants
Green,10,20,Domestic,No obstcale,,No,No,Hotel and restaurants
Green,7,20,Domestic,No obstcale,,No,No,Services
Green,5,10,Domestic,No obstcale,,No,No,Wholesale
Green,10,20,Domestic,Minor obstcale,,No,No,Hotel and restaurants
Green,6,25,Domestic,Minor obstcale,,No,No,Hotel and restaurants
Green,8,35,Domestic,No obstcale,,No,No,Retail
Green,6,30,Domestic,Minor obstcale,,No,No,Retail
Green,15,40,Domestic,No obstcale,,Yes,No,Retail
Green,15,15,Domestic,No obstcale,,No,No,Retail
Green,6,30,Domestic,No obstcale,,No,No,Retail
Green,8,15,Domestic,Major obstcale,,No,No,Retail
Green,5,25,Domestic,Minor obstcale,,No,No,Retail
Green,6,8,Domestic,Major obstcale,,Yes,No,Services
Green,5,43,Domestic,No obstcale,,No,No,Retail
Green,5,50,Domestic,No obstcale,,No,No,Retail
Green,5,20,Domestic,Moderate obstcale,,No,No,Retail
Green,8,10,Domestic,Moderate obstcale,,No,No,Retail
Green,6,3,Domestic,Major obstcale,,No,Yes,Retail
Green,6,2,Domestic,Severe obstcale,,No,No,Retail
Green,5,30,Domestic,Moderate obstcale,,No,No,Retail
Green,8,40,Domestic,Moderate obstcale,,No,No,Retail
Green,5,15,Domestic,Minor obstcale,,No,No,Retail
Green,5,44,Domestic,Moderate obstcale,,No,Yes,Retail
Green,50,10,Domestic,Minor obstcale,,No,No,Manufacturing
Green,60,20,Domestic,Minor obstcale,,Yes,No,Manufacturing
Green,30,30,Domestic,Minor obstcale,,No,No,Manufacturing
Green,30,30,Domestic,Minor obstcale,,Yes,No,Manufacturing
Green,60,40,Domestic,Moderate obstcale,,Yes,No,Manufacturing
Green,30,20,Domestic,Minor obstcale,,Yes,No,Manufacturing
Green,60,30,Domestic,Moderate obstcale,,Yes,No,Manufacturing
Green,24,30,Domestic,Major obstcale,,Yes,No,Manufacturing
Green,11,7,Domestic,Major obstcale,,Yes,No,Manufacturing
Green,7,20,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,64,20,Domestic,Major obstcale,,No,No,Manufacturing
Green,42,30,Domestic,Major obstcale,,Yes,No,Manufacturing
Green,70,50,Domestic,Minor obstcale,,No,No,Manufacturing
Green,50,30,Domestic,Moderate obstcale,,Yes,No,Manufacturing
Green,55,30,Domestic,Minor obstcale,,Yes,No,Manufacturing
Green,99,30,Domestic,Moderate obstcale,,Yes,No,Manufacturing
Green,45,20,Domestic,Moderate obstcale,,Yes,No,Manufacturing
Green,90,50,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,95,50,Domestic,Minor obstcale,,No,No,Manufacturing
Green,22,20,Domestic,Minor obstcale,,No,No,Manufacturing
Green,40,20,Domestic,Minor obstcale,,Yes,No,Food
Green,50,25,Domestic,No obstcale,,No,No,Food
Green,33,50,Domestic,Moderate obstcale,,No,No,Food
Green,31,30,Domestic,Moderate obstcale,,No,No,Food
Green,20,15,Domestic,Moderate obstcale,,No,No,Food
Green,45,30,Domestic,No obstcale,,No,No,Food
Green,55,50,Domestic,Major obstcale,,Yes,No,Food
Green,93,45,Domestic,Major obstcale,,Yes,Yes,Food
Green,30,30,Domestic,Minor obstcale,,No,Yes,Food
Green,40,30,Domestic,Moderate obstcale,,No,No,Food
Green,30,30,Domestic,Minor obstcale,,Yes,No,Food
Green,75,30,Domestic,Minor obstcale,,Yes,No,Food
Green,75,15,Domestic,No obstcale,,No,Yes,Food
Green,25,50,Domestic,No obstcale,,No,No,Food
Green,23,25,Domestic,No obstcale,,No,No,Food
Green,50,30,Domestic,No obstcale,,No,No,Food
Green,50,30,Domestic,No obstcale,,Yes,No,Manufacturing
Green,62,26,Domestic,No obstcale,,No,No,Manufacturing
Green,35,20,Domestic,No obstcale,,No,No,Manufacturing
Green,80,20,Domestic,No obstcale,,No,No,Manufacturing
Green,40,25,Domestic,Minor obstcale,,No,No,Manufacturing
Green,50,30,Domestic,Minor obstcale,,Yes,No,Manufacturing
Green,45,36,Domestic,Moderate obstcale,,Yes,No,Manufacturing
Green,70,40,Domestic,Severe obstcale,,Yes,Yes,Manufacturing
Green,70,30,Domestic,Moderate obstcale,,Yes,No,Manufacturing
Green,76,50,Domestic,Moderate obstcale,,Yes,Yes,Manufacturing
Green,50,30,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,30,40,Domestic,Moderate obstcale,,Yes,No,Manufacturing
Green,28,50,Domestic,Moderate obstcale,,Yes,No,Manufacturing
Green,130,40,Domestic,Moderate obstcale,,No,Yes,Manufacturing
Green,120,25,Domestic,Moderate obstcale,,Yes,No,Manufacturing
Green,35,30,Domestic,No obstcale,,No,Yes,Manufacturing
Green,45,20,Domestic,Moderate obstcale,,Yes,No,Manufacturing
Green,65,30,Domestic,Minor obstcale,,No,No,Manufacturing
Green,78,54,Domestic,Minor obstcale,,Yes,No,Manufacturing
Green,35,35,Domestic,Minor obstcale,,Yes,No,Manufacturing
Green,40,55,Domestic,Minor obstcale,,Yes,No,Manufacturing
Green,40,40,Domestic,Moderate obstcale,,No,Yes,Manufacturing
Green,26,50,Domestic,Minor obstcale,,No,No,Manufacturing
Green,40,40,Domestic,No obstcale,,No,No,Manufacturing
Green,70,30,Domestic,No obstcale,,No,No,Construction
Green,20,30,Foreign,No obstcale,,No,No,Manufacturing
Green,54,30,Domestic,No obstcale,,No,No,Manufacturing
Green,70,40,Domestic,No obstcale,,No,No,Manufacturing
Green,30,20,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,42,50,Domestic,Moderate obstcale,,Yes,Yes,Manufacturing
Green,22,30,Domestic,Severe obstcale,,No,No,Retail
Green,20,33,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,31,40,Domestic,Major obstcale,,Yes,Yes,Manufacturing
Green,25,40,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,70,15,Domestic,No obstcale,,Yes,No,Manufacturing
Green,38,30,Domestic,Minor obstcale,,Yes,No,Manufacturing
Green,50,30,Domestic,No obstcale,,No,No,Manufacturing
Green,50,10,Domestic,No obstcale,,No,No,Manufacturing
Green,40,30,Domestic,Minor obstcale,,No,No,Construction
Green,20,16,Domestic,Minor obstcale,,No,No,Manufacturing
Green,40,12,Domestic,Major obstcale,,Yes,No,Food
Green,50,25,Domestic,Moderate obstcale,,No,No,Services
Green,20,25,Domestic,Minor obstcale,,No,No,Services
Green,45,55,Domestic,Moderate obstcale,,Yes,No,Construction
Green,60,20,Domestic,No obstcale,,No,No,Hotel and restaurants
Green,22,20,Domestic,Minor obstcale,,No,No,Retail
Green,33,30,Domestic,No obstcale,,Yes,No,Retail
Green,10,20,Domestic,Minor obstcale,,No,No,Retail
Green,21,30,Domestic,Severe obstcale,,No,No,Retail
Green,30,20,Domestic,Moderate obstcale,,No,No,Retail
Green,19,20,Domestic,Minor obstcale,,No,No,Retail
Green,80,15,Domestic,Moderate obstcale,,Yes,No,Wholesale
Green,22,40,Domestic,No obstcale,,No,No,Retail
Green,200,40,Domestic,Moderate obstcale,,Yes,No,Manufacturing
Green,150,30,Domestic,Minor obstcale,,No,No,Manufacturing
Green,155,50,Domestic,No obstcale,,No,No,Manufacturing
Green,121,30,Domestic,No obstcale,,No,No,Manufacturing
Green,90,30,Domestic,Minor obstcale,,Yes,No,Manufacturing
Green,88,26,Domestic,No obstcale,,Yes,No,Manufacturing
Green,200,30,Domestic,Minor obstcale,,Yes,No,Manufacturing
Green,250,30,Domestic,No obstcale,,Yes,Yes,Manufacturing
Green,180,40,Domestic,Minor obstcale,,Yes,No,Manufacturing
Green,120,25,Domestic,Moderate obstcale,,Yes,Yes,Manufacturing
Green,160,60,Domestic,Major obstcale,,Yes,Yes,Manufacturing
Green,100,30,Domestic,Major obstcale,,Yes,No,Manufacturing
Green,180,40,Foreign,Moderate obstcale,,Yes,No,Manufacturing
Green,120,40,Domestic,Moderate obstcale,,Yes,No,Manufacturing
Green,180,50,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,250,30,Foreign,Major obstcale,,No,Yes,Manufacturing
Green,230,40,Domestic,Minor obstcale,,No,Yes,Manufacturing
Green,150,40,Domestic,Minor obstcale,,Yes,No,Manufacturing
Green,150,25,Foreign,Moderate obstcale,,Yes,No,Manufacturing
Green,200,40,Domestic,Moderate obstcale,,Yes,No,Manufacturing
Green,230,35,Domestic,Moderate obstcale,,Yes,No,Manufacturing
Green,180,20,Foreign,Minor obstcale,,Yes,No,Manufacturing
Green,180,60,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,200,20,Domestic,Minor obstcale,,No,No,Manufacturing
Green,90,40,Domestic,Moderate obstcale,,No,No,Food
Green,100,30,Domestic,Minor obstcale,,Yes,No,Food
Green,90,20,Domestic,Minor obstcale,,No,No,Food
